City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
79,Mungaa,TZ,-4.9667,34.8833,60.73,97,100,4.7,light rain
80,Laguna,US,38.421,-121.4238,62.96,69,40,1.01,scattered clouds
81,Avarua,CK,-21.2078,-159.775,80.65,83,20,5.75,few clouds
82,Kimbe,PG,-5.5502,150.1429,75.74,94,100,2.24,light rain
83,Dingle,PH,10.9995,122.6711,74.98,91,11,1.86,few clouds
84,Kawambwa,ZM,-9.7915,29.0791,64.38,95,99,3.04,overcast clouds
85,Lerwick,GB,60.1545,-1.1494,39.2,77,81,43.22,broken clouds
86,Sur,OM,22.5667,59.5289,71.53,54,5,3.62,clear sky
87,Dikson,RU,73.5069,80.5464,2.88,93,100,21.41,overcast clouds
88,Bacalar,MX,18.6667,-88.3833,75.31,64,40,11.5,scattered clouds
89,Cabo San Lucas,MX,22.8909,-109.9124,82.62,60,68,5.01,broken clouds
90,Port Elizabeth,ZA,-33.918,25.5701,70.11,77,0,11.5,clear sky
91,Sogne,NO,58.0833,7.8167,40.86,68,10,33.33,light rain
92,Mangan,IN,27.5167,88.5333,49.5,54,57,3.71,broken clouds
93,Bathsheba,BB,13.2167,-59.5167,83.01,81,40,20.71,scattered clouds
94,Emba,KZ,48.8264,58.1442,17.02,96,100,11.1,light snow
95,Valer,NO,60.6785,11.8331,43.3,76,100,12.71,overcast clouds
96,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,74,0,11.5,thunderstorm
97,Yumen,CN,40.2833,97.2,15.31,58,1,4.97,clear sky
98,Luderitz,NA,-26.6481,15.1594,68.22,78,53,10.33,broken clouds
99,Tiksi,RU,71.6872,128.8694,-8.48,100,56,3.98,broken clouds
100,Saint Anthony,US,45.0205,-93.218,27.34,60,100,4.0,overcast clouds
101,Oulu,FI,65.0124,25.4682,26.71,93,100,11.5,light snow
102,Ylojarvi,FI,61.5563,23.5961,31.91,96,100,13.8,snow
103,Ambon,ID,-3.6954,128.1814,77.14,94,40,3.44,scattered clouds
104,Hilo,US,19.7297,-155.09,73.62,74,36,1.99,scattered clouds
105,Saint-Pierre,RE,-21.3393,55.4781,80.28,69,18,6.91,few clouds
106,Sorland,NO,67.667,12.6934,32.0,83,100,18.5,light snow
107,Fairbanks,US,64.8378,-147.7164,-14.98,70,0,4.61,clear sky
108,Perth,AU,-31.9333,115.8333,75.33,74,0,4.61,clear sky
109,Imbituba,BR,-28.24,-48.6703,75.81,80,87,9.64,overcast clouds
110,Poum,NC,-20.2333,164.0167,80.73,80,32,8.77,scattered clouds
111,Marystown,CA,47.1666,-55.1483,35.85,100,100,15.01,overcast clouds
112,Baruun-Urt,MN,46.6806,113.2792,-7.94,89,19,2.66,few clouds
113,Buala,SB,-8.145,159.5921,80.04,83,100,7.72,light rain
114,Cairns,AU,-16.9167,145.7667,76.95,83,75,5.75,broken clouds
115,Choma,ZM,-16.8065,26.9531,65.55,95,100,2.55,light rain
116,Narsaq,GL,60.9167,-46.05,10.47,94,100,2.21,overcast clouds
117,Pangnirtung,CA,66.1451,-65.7125,-14.8,70,100,2.3,light snow
118,Bengkulu,ID,-3.8004,102.2655,76.48,89,100,3.4,overcast clouds
119,Grand Gaube,MU,-20.0064,57.6608,81.0,76,79,4.0,broken clouds
120,Saldanha,ZA,-33.0117,17.9442,73.45,83,0,20.65,clear sky
121,Ribeira Grande,PT,38.5167,-28.7,63.0,63,20,6.91,few clouds
122,Champerico,GT,14.3,-91.9167,90.14,63,4,10.33,clear sky
123,San Jose,US,37.3394,-121.895,61.56,54,40,0.0,scattered clouds
124,Chumikan,RU,54.7183,135.315,-1.62,90,100,20.33,overcast clouds
125,Zhangjiakou,CN,40.81,114.8794,17.87,54,26,1.66,light snow
126,Durban,ZA,-29.8579,31.0292,74.01,89,88,1.01,overcast clouds
127,Puerto Colombia,CO,10.9878,-74.9547,84.29,71,2,18.54,clear sky
128,Nikolskoye,RU,59.7035,30.7861,26.87,87,100,13.29,light snow
129,Mar Del Plata,AR,-38.0023,-57.5575,84.22,87,0,21.0,clear sky
130,Cidreira,BR,-30.1811,-50.2056,74.66,56,84,12.41,broken clouds
131,Eenhana,NA,-17.4667,16.3333,80.35,83,100,2.17,light rain
132,Frederico Westphalen,BR,-27.3592,-53.3944,72.45,68,82,7.96,broken clouds
133,Marsa Matruh,EG,31.3525,27.2453,55.26,54,1,11.95,clear sky
134,Ulladulla,AU,-35.35,150.4667,71.87,94,99,1.79,overcast clouds
135,Maragogi,BR,-9.0122,-35.2225,78.19,66,100,1.81,overcast clouds
136,Hurricane,US,37.1753,-113.2899,59.34,21,77,1.77,broken clouds
137,Nouadhibou,MR,20.931,-17.0347,67.98,60,100,16.11,overcast clouds
138,Teguise,ES,29.0605,-13.564,62.82,59,0,13.8,haze
139,Novikovo,RU,51.1537,37.8879,28.94,97,100,4.88,overcast clouds
140,Manzanillo,CU,20.3433,-77.1167,83.59,50,12,9.17,few clouds
141,Clyde River,CA,70.4692,-68.5914,-5.57,65,100,18.41,snow
142,Vanimo,PG,-2.6741,141.3028,76.1,90,100,8.43,overcast clouds
143,Qaanaaq,GL,77.484,-69.3632,-4.97,62,100,8.93,overcast clouds
144,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,87,40,9.22,scattered clouds
145,Okhotsk,RU,59.3833,143.3,13.57,80,100,15.88,overcast clouds
146,Saint George,US,37.1041,-113.5841,52.36,28,0,1.01,clear sky
147,Lompoc,US,34.6391,-120.4579,67.14,49,0,8.05,clear sky
148,Henties Bay,NA,-22.116,14.2845,63.86,81,90,7.74,overcast clouds
149,Abu Dhabi,AE,24.4667,54.3667,68.11,75,0,4.61,clear sky
150,Vila Do Maio,CV,15.1333,-23.2167,72.39,71,100,17.49,overcast clouds
151,Castro,BR,-24.7911,-50.0119,60.8,98,100,5.32,overcast clouds
152,Hofn,IS,64.2539,-15.2082,27.99,59,0,13.91,clear sky
153,Chokurdakh,RU,70.6333,147.9167,-13.4,87,100,1.05,overcast clouds
154,Puerto Ayora,EC,-0.7393,-90.3518,80.56,69,17,9.64,few clouds
155,Sitka,US,57.0531,-135.33,39.09,81,75,9.22,moderate rain
156,Yenagoa,NG,4.9247,6.2642,78.53,50,11,5.37,few clouds
157,New Norfolk,AU,-42.7826,147.0587,60.3,99,22,1.23,few clouds
158,Hasaki,JP,35.7333,140.8333,32.4,70,47,15.12,scattered clouds
159,Merauke,ID,-8.4667,140.3333,80.19,79,100,7.07,light rain
160,Palmer,US,42.1584,-72.3287,18.64,79,100,5.01,light snow
161,Mezen,RU,65.8522,44.24,13.51,95,99,8.46,overcast clouds
162,Diamantino,BR,-14.4086,-56.4461,77.59,90,100,5.28,moderate rain
163,Songjianghe,CN,42.1859,127.479,-1.39,94,5,4.99,clear sky
164,Ovsyanka,RU,55.9575,92.5519,-9.78,100,69,4.34,broken clouds
165,Nguru,NG,12.8791,10.4526,69.04,11,0,10.8,clear sky
166,Bredasdorp,ZA,-34.5322,20.0403,67.32,73,5,10.36,clear sky
167,Tucumcari,US,35.1717,-103.725,53.94,14,0,8.63,clear sky
168,Saint-Joseph,RE,-21.3667,55.6167,79.18,83,33,10.47,scattered clouds
169,Omboue,GA,-1.5746,9.2618,78.76,84,94,5.08,overcast clouds
170,Ponta Do Sol,PT,32.6667,-17.1,65.03,69,9,4.38,clear sky
171,Muyezerskiy,RU,63.9333,31.65,23.02,77,100,15.37,overcast clouds
172,Baikunthpur,IN,23.25,82.55,51.98,36,0,3.53,clear sky
173,Ahipara,NZ,-35.1667,173.1667,60.06,85,41,6.67,scattered clouds
174,Greensburg,US,40.3015,-79.5389,21.67,58,0,8.99,clear sky
175,Lindi,TZ,-10.0,39.7167,73.49,98,100,2.08,overcast clouds
176,Kodiak,US,57.79,-152.4072,28.27,74,100,13.98,overcast clouds
