City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Tucurui,-3.7661,-49.6725,72.09,97,100,0.76,BR,2022-01-28 00:38:38
68,Castro,-24.7911,-50.0119,65.62,96,100,3.15,BR,2022-01-28 00:31:15
69,Hofn,64.2539,-15.2082,33.58,98,100,3.15,IS,2022-01-28 00:35:34
70,Mpongwe,-13.5091,28.155,62.91,98,100,3.42,ZM,2022-01-28 00:38:39
71,Ankang,32.68,109.0172,35.28,95,100,2.82,CN,2022-01-28 00:38:39
72,Juli,-16.2167,-69.45,45.63,75,97,2.82,PE,2022-01-28 00:38:40
73,Hambantota,6.1241,81.1185,66.54,100,0,1.14,LK,2022-01-28 00:37:48
74,Kalmunai,7.4167,81.8167,73.0,84,90,8.34,LK,2022-01-28 00:38:40
75,Karratha,-20.7377,116.8463,83.82,54,34,13.0,AU,2022-01-28 00:32:50
76,Guerrero Negro,27.9769,-114.0611,66.06,41,100,11.1,MX,2022-01-28 00:35:44
77,Smolenka,52.1352,113.4974,-29.13,68,65,0.0,RU,2022-01-28 00:38:41
78,Hami,42.8,93.45,21.85,45,3,2.66,CN,2022-01-28 00:37:06
79,Shenzhen,22.5455,114.0683,68.07,96,96,5.06,CN,2022-01-28 00:36:19
80,Namibe,-15.1961,12.1522,74.08,85,100,5.44,AO,2022-01-28 00:38:41
81,Mandalgovi,45.7625,106.2708,1.22,66,0,1.19,MN,2022-01-28 00:36:00
82,Yokadouma,3.5167,15.05,66.99,33,64,2.89,CM,2022-01-28 00:38:41
83,Viedma,-40.8135,-62.9967,69.4,50,0,19.95,AR,2022-01-28 00:36:42
84,Praia Da Vitoria,38.7333,-27.0667,57.45,94,40,16.69,PT,2022-01-28 00:38:16
85,Gushikawa,26.3544,127.8686,67.23,94,0,6.91,JP,2022-01-28 00:34:57
86,Bengkulu,-3.8004,102.2655,79.14,79,95,2.91,ID,2022-01-28 00:35:26
87,Kununurra,-15.7667,128.7333,82.38,83,40,5.75,AU,2022-01-28 00:36:14
88,Lasa,46.6166,10.7002,44.06,62,47,7.43,IT,2022-01-28 00:32:18
89,Almaznyy,48.0448,40.045,12.34,98,90,3.67,RU,2022-01-28 00:34:14
90,Ongole,15.5,80.05,67.1,86,12,8.5,IN,2022-01-28 00:38:42
91,Puerto Madryn,-42.7692,-65.0385,83.12,31,3,23.33,AR,2022-01-28 00:38:45
92,Blackwater,-23.5833,148.8833,87.55,41,98,14.05,AU,2022-01-28 00:38:46
93,Sao Filipe,14.8961,-24.4956,71.76,72,86,14.34,CV,2022-01-28 00:35:42
94,Mataura,-46.1927,168.8643,66.47,27,100,2.1,NZ,2022-01-28 00:35:14
95,Vila Franca Do Campo,37.7167,-25.4333,56.19,72,100,9.93,PT,2022-01-28 00:38:46
96,Masindi,1.6744,31.715,71.4,32,98,1.48,UG,2022-01-28 00:38:47
97,Katsuura,35.1333,140.3,47.1,97,100,9.48,JP,2022-01-28 00:32:13
98,Fuengirola,36.54,-4.6247,57.2,40,20,6.91,ES,2022-01-28 00:34:21
99,Trairi,-3.2778,-39.2689,74.73,91,100,5.86,BR,2022-01-28 00:38:47
100,Khatanga,71.9667,102.5,2.59,79,76,14.47,RU,2022-01-28 00:31:38
101,Kitakata,37.65,139.8667,37.31,92,98,5.57,JP,2022-01-28 00:38:48
102,Port-Gentil,-0.7193,8.7815,79.56,82,100,7.96,GA,2022-01-28 00:36:16
103,Talnakh,69.4865,88.3972,4.21,92,100,16.98,RU,2022-01-28 00:35:49
104,Nemuro,43.3236,145.575,9.03,68,11,8.93,JP,2022-01-28 00:38:48
105,Thompson,55.7435,-97.8558,-7.44,71,100,5.75,CA,2022-01-28 00:30:33
106,Vila Velha,-20.3297,-40.2925,78.94,84,0,13.0,BR,2022-01-28 00:38:07
107,Aklavik,68.2191,-135.0107,-11.2,70,75,4.61,CA,2022-01-28 00:38:48
108,Port Blair,11.6667,92.75,80.64,78,40,4.61,IN,2022-01-28 00:36:23
109,Victoria,22.2855,114.1577,68.18,93,100,10.0,HK,2022-01-28 00:33:32
110,Gornopravdinsk,60.05,69.9,8.74,96,100,7.14,RU,2022-01-28 00:34:27
