City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
259,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
260,Adrar,MR,81.21,overcast clouds,20.5022,-10.0711,Hotel Atlântico Rio Grande
263,Kavieng,PG,81.16,moderate rain,-2.5744,150.7967,Nusa Island Retreat
265,Todos Santos,MX,82.11,clear sky,23.45,-110.2167,Hotel California Todos Santos
268,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
270,Bandarbeyla,SO,76.15,broken clouds,9.4942,50.8122,JABIR HOTEL
271,Sao Joao Da Barra,BR,87.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
280,Rocha,UY,78.96,clear sky,-34.4833,-54.3333,Hotel Arrarte
286,Matara,LK,77.56,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
288,Waingapu,ID,78.53,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
289,San Policarpo,PH,78.96,few clouds,12.1791,125.5072,Agapita M. Nicart
295,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
296,Rawson,AR,82.87,few clouds,-43.3002,-65.1023,Hosteria Sampedro
298,Acapulco,MX,85.53,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
301,Linden,GY,86.14,broken clouds,6.0,-58.3,Crimson Bat Hotel
302,Alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
311,Jacareacanga,BR,78.84,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
312,Kpandae,GH,89.06,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
317,Belmonte,BR,84.7,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
318,Kokopo,PG,77.4,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
329,Zorgo,BF,81.3,clear sky,12.2489,-0.6158,Auberge Peng-Wende De Zorgho
331,Balsas,BR,79.23,broken clouds,-7.5325,-46.0356,Novo Hotel
334,Chavakachcheri,LK,78.01,scattered clouds,9.6579,80.1643,Muslim hotel முஸ்லிம் ஹோட்டல்
338,Hithadhoo,MV,81.28,overcast clouds,-0.6,73.0833,Scoop Guest House
341,Lujan,AR,86.68,overcast clouds,-34.5703,-59.105,Hotel Biarritz
343,Taiobeiras,BR,76.62,overcast clouds,-15.8078,-42.2331,Dallas Hotel
345,Camopi,GF,77.4,light rain,3.1655,-52.3158,La pousada
348,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
352,Am Timan,TD,78.76,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
355,Padang,ID,77.38,overcast clouds,-0.9492,100.3543,Mercure Padang
356,Francisco Sa,BR,78.98,broken clouds,-16.4758,-43.4883,Amaralina Hotel
357,Teluk Nibung,ID,75.99,overcast clouds,3.001,99.8164,Hotel Assyifa
359,Sinnamary,GF,80.89,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
366,Caravelas,BR,84.25,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
370,Camocim,BR,81.73,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
372,Banjar,ID,78.66,light rain,-8.19,114.9675,The Hamsa Resort
373,Gondanglegi,ID,75.81,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
376,Mana,GF,81.34,overcast clouds,5.6592,-53.7767,LE SAMANA
378,Vitorino Freire,BR,77.16,overcast clouds,-4.0667,-45.1667,Hotel Atlântico Rio Grande
380,Dekar,BW,76.32,overcast clouds,-21.5333,21.9333,Hotel Atlântico Rio Grande
388,Bonthe,SL,80.2,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
391,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
395,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
402,Moerai,PF,79.09,clear sky,-22.4333,-151.3333,Le Manotel
404,Mackay,AU,75.18,broken clouds,-21.15,149.2,International Lodge Motel
406,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
407,Rodrigues Alves,BR,88.0,light rain,-7.738,-72.6509,Pousada Aconchego
408,Lae,PG,75.78,overcast clouds,-6.7221,146.9847,Phils Hotel
409,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
412,Kanniyakumari,IN,78.71,scattered clouds,8.0833,77.5667,Sparsa
414,Tautira,PF,78.82,overcast clouds,-17.7333,-149.15,Pension Oaoa
416,Pangkalanbuun,ID,75.0,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
422,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
423,Rayong,TH,81.72,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
428,Mandurah,AU,75.45,scattered clouds,-32.55,115.7,Atrium Hotel Mandurah
431,Varca,IN,78.8,clear sky,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
433,Finschhafen,PG,78.6,overcast clouds,-6.6024,147.8681,Cossam Guest House
434,Davila,PH,78.78,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
438,Ugoofaaru,MV,82.11,scattered clouds,5.6667,73.0,Ungoofaaru Inn
440,Isangel,VU,77.11,moderate rain,-19.55,169.2667,Tanna Lodge
443,Manokwari,ID,77.85,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
447,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
448,Beroroha,MG,81.39,clear sky,-21.6667,45.1667,Hotel Atlântico Rio Grande
452,Chimore,BO,76.28,overcast clouds,-16.9833,-65.1333,Bichito
459,Neiafu,TO,82.42,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
460,Savannah Bight,HN,82.45,broken clouds,16.45,-85.85,Villa on Dunbar Rock
471,Rio Grande,BR,80.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
476,Veinticinco De Mayo,AR,86.05,overcast clouds,-35.4323,-60.1727,Estancia La Rosada
480,Kununurra,AU,78.78,light rain,-15.7667,128.7333,Hotel Kununurra
495,Maceio,BR,85.44,overcast clouds,-9.6658,-35.7353,Poutur Pousada
502,Singaraja,ID,77.97,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
507,Farafangana,MG,75.6,clear sky,-22.8167,47.8333,Miarina
509,Boyolangu,ID,76.98,light rain,-8.1181,111.8935,Yos ega cv
510,Impfondo,CG,79.59,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
515,Buin,CL,82.06,clear sky,-33.7333,-70.75,Paihuen
518,Garissa,KE,86.41,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
530,Kavaratti,IN,80.85,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
531,Black River,JM,82.4,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
544,Tomatlan,MX,88.2,clear sky,19.9333,-105.25,El Salvial
545,Lloro,CO,80.6,overcast clouds,5.4961,-76.5495,aidemi
548,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
552,Corn Island,NI,79.05,clear sky,12.1694,-83.0418,Big Fish Guest House
557,Kirakira,SB,79.48,light rain,-10.4544,161.9205,SanBiz Lodge
559,Iraray,PH,77.11,broken clouds,8.9936,118.0511,Hotel Atlântico Rio Grande
561,Mandiana,GN,85.3,scattered clouds,10.6333,-8.6833,Motels rouzo
562,Basay,PH,77.83,scattered clouds,9.4087,122.64,Nikka's Place (Basay Transient Rooms)
563,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
564,Vaitape,PF,80.17,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
566,Pimenteiras,BR,82.6,moderate rain,-6.2453,-41.4192,Hotel rotativo pimentas
567,Sola,VU,82.62,overcast clouds,-13.8833,167.55,Leumerus Bungalows
569,Jacqueville,CI,84.11,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
571,Tual,ID,83.21,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
576,Karratha,AU,81.59,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
593,Mogadishu,SO,77.67,clear sky,2.0371,45.3438,Hotel Juba
598,Boca Do Acre,BR,79.77,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
599,Quatre Cocos,MU,80.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
